##############################################################################################################################################################################################################
# PDG MC Codes and Data
# mass and width(gamma) are in GeV.
# not all the mass/width are correct, uncertainties dMass and dWidth are missing.
##########################################################################################################################################################################################################################################################
# Name                        LatexTitle                            PDG-MC     Charge           Mass          dMass         Width          dWidth      Spin   Isospin        I3     Quark AntiQuark    Lepton
# Name                        LatexTitle                            PDG-MC     Charge           Mass          dMass         Width          dWidth      Spin   Isospin        I3     Quark AntiQuark    Lepton
##############################################################################################################################################################################################################
# Quarks
##############################################################################################################################################################################################################
rho1450plus                   #rho^{+}(1450)                         100213     1.000       1.465000       0.000000       0.310000       0.000000       1.0       1.0       1.0        10         1         0
rho1450minus                  #rho^{-}(1450)                        -100213    -1.000       1.465000       0.000000       0.310000       0.000000       1.0       1.0      -1.0         1        10         0
rho1450zero                   #rho^{0}(1450)                         100113     0.000       1.465000       0.000000       0.310000       0.000000       1.0       1.0       0.0        11        11         0
eta1440zero                   #eta^{0}(1440)                         100331     0.000       1.435000       0.000000       0.065000       0.000000       0.0       0.0       0.0        11        11         0
f11420zero                    f_{1}^{0}(1420)                         20333     0.000       1.426300       0.000000       0.055500       0.000000       1.0       0.0       0.0        11        11         0
omega1420zero                 #omega^{0}(1420)                       100223     0.000       1.419000       0.000000       0.174000       0.000000       1.0       0.0       0.0        11        11         0
f01370zero                    f_{0}^{0}(1370)                         10221     0.000       1.350000       0.000000       0.350000       0.000000       0.0       0.0       0.0        11        11         0
a21320plus                    a_{2}^{+}(1370)                           215     1.000       1.318000       0.000000       0.107000       0.000000       2.0       1.0       1.0        10         1         0
a21320minus                   a_{2}^{-}(1370)                          -215    -1.000       1.318000       0.000000       0.107000       0.000000       2.0       1.0      -1.0         1        10         0
a21320zero                    a_{2}^{0}(1370)                           115     0.000       1.318000       0.000000       0.107000       0.000000       2.0       1.0       0.0        11        11         0
pion1300plus                  #pi^{+}(1300)                          100211     1.000       1.300000       0.000000       0.400000       0.000000       0.0       1.0       1.0        10         1         0
pion1300minus                 #pi^{-}(1300)                         -100211    -1.000       1.300000       0.000000       0.400000       0.000000       0.0       1.0      -1.0         1        10         0
pion1300zero                  #pi^{0}(1300)                          100111     0.000       1.300000       0.000000       0.400000       0.000000       0.0       1.0       0.0        11        11         0
eta1295zero                   #eta^{0}(1295)                         100221     0.000       1.297000       0.000000       0.053000       0.000000       0.0       0.0       0.0        11        11         0
f11285zero                    f_{1}^{0}(1285)                         20223     0.000       1.281900       0.000000       0.024000       0.000000       1.0       0.0       0.0        11        11         0
f21270zero                    f_{1}^{0}(1270)                           225     0.000       1.275400       0.000000       0.185000       0.000000       2.0       0.0       0.0        11        11         0
a11260plus                    a{1}^{+}(1260)                          20213     1.000       1.230000       0.000000       0.425000       0.000000       1.0       1.0       1.0        10         1         0
a11260minus                   a{1}^{-}(1260)                         -20213    -1.000       1.230000       0.000000       0.425000       0.000000       1.0       1.0      -1.0         1        10         0
a11260zero                    a{1}^{0}(1260)                          20113     0.000       1.230000       0.000000       0.425000       0.000000       1.0       1.0       0.0        11        11         0
